slug,name,domain,category,ycBatch,description,source
testrigor,testRigor,testrigor.com,"Engineering, Product and Design",S21,Executable specifications in English for test automation,yc-s21
palenca,Palenca,palenca.com,Infrastructure,S21,Payroll API for LatAm,yc-s21
mindfi,MindFi,mindfi.co,Human Resources,S21,Transforming Mental Health for Corporate Asia,yc-s21
oneschema,OneSchema,oneschema.co,Operations,S21,Automate CSV & PDF workflows with AI,yc-s21
bolster,Bolster,bolsterbuilt.com,Construction,S21,"The platform for buying, selling and managing residential construction",yc-s21
nextpay,NextPay,nextpay.world,Banking and Exchange,W21,The digital bank for small businesses in the Philippines.,yc-w21
ziina,Ziina,ziina.com,Consumer Finance,W21,A digital wallet for the Middle East & North Africa,yc-w21
solo,Solo,solosuit.com,Consumer Finance,W21,We help people resolve debt.,yc-w21
jiga,Jiga,jiga.io,Supply Chain and Logistics,W21,Source better parts by partnering directly with vetted manufacturers,yc-w21
businessonbot,BusinessOnBot,businessonbot.com,Operations,W21,Automated user acquisition & selling on WhatsApp for businesses,yc-w21
terra-api,Terra API,tryterra.co,"Engineering, Product and Design",W21,API for developers to access health data,yc-w21
64x-bio,64x Bio,64xbio.com,Industrial Bio,S18,Enabling next generation medicines. A comprehensive platform and…,yc-s18
seam,Seam,seam.co,"Engineering, Product and Design",S20,API for IoT Devices,yc-s20
atomic,Atomic,atomicvest.com,Retail,S20,API that lets companies embed investment accounts into their services,yc-s20
doppler,Doppler,doppler.com,"Engineering, Product and Design",W19,Secure secrets. Prevent breaches. Keep teams moving.,yc-w19
perceptive-technologies,Perceptive Technologies,perceptive.io,Medical Devices,W20,"Automated tooth cutting for dentists using imaging, AI and robotics",yc-w20
bikry,Bikry,bikry.com,Retail,W20,Bikry: Helping SMB's in India go online,yc-w20
zeal,Zeal,zeal.com,Fintech,S19,Modern payroll for modern work,yc-s19
atlas-3,Atlas,atlascard.com,Consumer Finance,W19,Modern spend management & concierge.,yc-w19
demodesk,Demodesk,demodesk.com,Sales,W19,AI-powered sales coaching,yc-w19
tilt-fka-delphia,Tilt (f.k.a. Delphia),tilt.io,Consumer Finance,W18,Tilt lets anyone build an index out of any content on the web.,yc-w18
thematic,Thematic,getthematic.com,Analytics,S17,We analyze feedback to help companies improve customer experience,yc-s17
tpaga,tpaga,tpaga.co,Payments,S17,First financial Superapp of Latin America,yc-s17
nimble,Nimble,hirenimble.com,Education,S17,Data-driven teacher hiring,yc-s17
alemhealth,AlemHealth,alemhealth.com,Healthcare Services,W17,AI Radiologist in a Box - We provide a vertically integrated AI…,yc-w17
mdalgorithms-inc,MDalgorithms Inc.,mdalgorithms.com,Consumer Health and Wellness,W17,Democratizing Dermatology with AI,yc-w17
elemeno-health,Elemeno Health,elemenohealth.com,Healthcare IT,S16,Just-in-time training and communication for frontline healthcare teams,yc-s16
conveo,Conveo,conveo.ai,B2B,S24,Confident decisions in days with AI-led interviews.,yc-s24
retell-ai,Retell AI,retellai.com,Infrastructure,W24,Supercharge Your Contact Center Operations with AI Phone Agents,yc-w24
feroot-security,Feroot Security,feroot.com,Security,W21,"AI-powered Compliance Platform for PCI 4, CCPA, HIPAA, CIPA, 50+ laws",yc-w21
laylo,Laylo,laylo.com,Marketing,S20,The CRM powering iconic musicians and events,yc-s20
mozart-data,Mozart Data,mozartdata.com,Infrastructure,S20,The easiest way to set up a modern data stack,yc-s20
explo,Explo,explo.co,Analytics,W20,Embedded Analytics and Data Sharing Platform,yc-w20
fampay,FamPay,fampay.in,Payments,S19,India’s first neobank for teenagers,yc-s19
rutter,Rutter,rutter.com,"Engineering, Product and Design",S19,The Unified API for Business Financial Data,yc-s19
switchboard,Switchboard,onswitchboard.com,Supply Chain and Logistics,W19,Technology for Trucking,yc-w19
vellum,Vellum,vellum.ai,"Engineering, Product and Design",W23,The AI Product Development Platform,yc-w23
cinder-2,Cinder,cinder.co,Security,W22,"Cinder | Responsible AI, Trust & Safety, and Data Labeling At Scale",yc-w22
pagaloop,Pagaloop,pagaloop.com,Payments,W21,"Pay, Get Paid and Extend Cash Flow using your Credit Card as…",yc-w21
hubble,Lightdash,lightdash.com,Analytics,S20,The open source Looker alternative,yc-s20
dreamcraft-entertainment-inc,"DreamCraft Entertainment, Inc.",dreamcraft.com,Gaming,S18,Platform that allows anyone to create and monetize video games.,yc-s18
embeddables,Embeddables,embeddables.com,Productivity,S18,The funnel builder built for health & wellness brands.,yc-s18
cercli,Cercli,cercli.com,B2B,S23,Rippling for Middle East & North Africa,yc-s23
langdock,Langdock,langdock.com,Productivity,S23,The all-in-one AI platform for companies.,yc-s23
kapa-ai,kapa.ai,kapa.ai,Productivity,S23,The fastest way to build AI assistants on technical content,yc-s23
controlhub,ControlHub,controlhub.com,Finance and Accounting,W21,Purchasing Software | Procure-to-Pay SaaS,yc-w21
sytex,Sytex,sytex.io,Productivity,S22,Project management platform for Field Infrastructure.,yc-s22
dagger,Dagger,dagger.io,"Engineering, Product and Design",W19,Develop your CI/CD pipelines as code and run them anywhere,yc-w19
skylink,SkyLink,tryskylink.com,B2B,W22,Travel Management Meets AI,yc-w22
hiration,Hiration,hiration.com,Job and Career Services,W20,We help job seekers quickly create resumes that get 2X more interviews,yc-w20
exa,Exa,exa.ai,B2B,S21,Web search rebuilt for LLMs,yc-s21
datrics,Datrics,datrics.ai,Healthcare,W21,Generative AI Healthcare Coding Automation,yc-w21
nextmv,Nextmv,nextmv.io,"Engineering, Product and Design",W20,A DecisionOps platform that accelerates optimization AI teams,yc-w20
canix,Canix,canix.com,Security,S19,Canix makes it easy to get and stay compliant as a cannabis business.,yc-s19
revl,Revl,revl.com,Marketing,W16,AI edited video souvenirs as a service,yc-w16
metal-2,Metal,metal.so,B2B,W23,Metal is an AI-driven operating system for fundraising,yc-w23
broccoli-ai,Broccoli AI,broccoli.com,"Engineering, Product and Design",W22,AI-native operating system for home service businesses,yc-w22
theneo,Theneo,theneo.io,"Engineering, Product and Design",W22,Stripe-like API Docs in just a few clicks,yc-w22
iomete,IOMETE,iomete.com,Infrastructure,W22,Self-hosted data lakehouse platform,yc-w22
koshex,Koshex,koshex.com,Asset Management,S21,Automating wealth creation for 400M Indian millennials,yc-s21
freterium,Freterium,freterium.com,Supply Chain and Logistics,S21,Real-Time Collaborative Transport Management Platform,yc-s21
linkana,Linkana,linkana.com,Supply Chain and Logistics,W20,The leading SRM platform for LatAm,yc-w20
keeper-2,Keeper,keepertax.com,Consumer Finance,W19,AI tax filing for complex returns,yc-w19
circa,Circa,circa.co,Marketing,S16,Event marketing CRM,yc-s16
heroic-labs,Heroic Labs,heroiclabs.com,Gaming,S15,"Social Infrastructure for Games; Makers of Nakama game server, Satori…",yc-s15
f2,F2,f2.ai,"Engineering, Product and Design",S25,The AI platform for private markets investors,yc-s25
delineate,Delineate,delineate.pro,"Engineering, Product and Design",W25,Agents for Accelerated Clinical Trial Design,yc-w25
afterquery,AfterQuery,afterquery.com,Infrastructure,W25,Research lab investigating the boundaries of AI capabilities.,yc-w25
spott,Spott,spott.io,Recruiting and Talent,W25,AI-native ATS/CRM for recruiting firms,yc-w25
surebright,SureBright,surebright.com,Retail,S24,Apple Care-like warranty program for every retailer,yc-s24
onyx,Onyx,onyx.app,Productivity,W24,Open Source AI Chat,yc-w24
toma,Toma,toma.com,Operations,W24,AI for Underserved Industries,yc-w24
fleetworks,FleetWorks,fleetworks.ai,Supply Chain and Logistics,S23,AI enabled marketplace matching trucks with jobs,yc-s23
floworks,Floworks,floworks.ai,Sales,W23,Hire the best AI Sales employees | AI SDR | AI RevOps | AI EA,yc-w23
justpaid,JustPaid,justpaid.ai,Payments,W23,Billing Automation for B2B that actually works.,yc-w23
superkalam,SuperKalam,superkalam.com,Education,W23,AI-Powered Super Mentor for Test Prep,yc-w23
vector,Vector,vector.co,Marketing,W23,Advertising for the new internet,yc-w23
nsave,nsave,nsave.com,Fintech,S22,Trusted $€£ accounts abroad for people from unstable economies.,yc-s22
plutto,Plutto,getplutto.com,Infrastructure,S22,Supply-chain risk management and compliance platform for Latin…,yc-s22
pasito,Pasito,pasito.ai,Insurance,S22,AI agents for insurance and benefits,yc-s22
homli,HOMLI,thehomli.com,Housing and Real Estate,S22,Sell your home without brokers,yc-s22
lancedb,LanceDB,lancedb.com,Infrastructure,W22,"Open-source, serverless vectordb for production-scale generative AI",yc-w22
amiloz,amiloz,beloz.com.mx,Credit and Lending,W22,Micro-lender in Mexico,yc-w22
miggos,Miggos,miggos.com,Supply Chain and Logistics,W22,Wholesale marketplace for mom & pop clothing shops in LATAM,yc-w22
growthbook,GrowthBook,growthbook.io,Analytics,W22,Open source feature flagging and A/B testing,yc-w22
rank,Rank (formerly Moni),userank.com,Credit and Lending,W22,Group Financing for small businesses across Africa.,yc-w22
topship,Topship,topship.africa,Supply Chain and Logistics,W22,Flexport for African Merchants - Building the OS for Global Logistics,yc-w22
paycaddy,PayCaddy,paycaddy.com,Fintech,W22,Simplified Banking as a Service for Latam,yc-w22
fintelite,Fintelite,fintelite.ai,Fintech,W22,Intelligent Process Automation for Lending.,yc-w22
finku,Finku,finku.id,Fintech,W22,AI powered personal finance app for Indonesia,yc-w22
trackchain,TrackChain,trackchain.io,Supply Chain and Logistics,S21,AI-native logistics OS for autonomous freight execution,yc-s21
replo,Replo,replo.app,"Engineering, Product and Design",S21,Sell anything,yc-s21
bite-ninja,Bite Ninja,biteninja.com,B2B,S21,Remote labor for restaurants,yc-s21
coloop,CoLoop,coloop.ai,B2B,S21,AI Copilot for insights & strategy,yc-s21
siglo,Siglo,siglo.com,Consumer,S21,Home Internet for urban Latin America,yc-s21
plai,Plai,plai.io,Marketing,S21,"Create, launch, and optimize Facebook ads and ads on 10+ platforms",yc-s21
enso,Enso,ensoanalytics.com,Analytics,S21,Self-Service Data Prep and Blend Built for Data Teams.,yc-s21
1910,1910,1910.ai,Therapeutics,W19,Multimodal AI Platform for Modality Agnostic Drug Discovery™,yc-w19
homebase,Homebase,gethomebase.com,Housing and Real Estate,W21,Personalized rent-to-own real estate financing using technology in SEA,yc-w21
anima,Anima,animahealth.com,Healthcare,W21,The next generation care enablement platform,yc-w21
infracost,Infracost,infracost.io,"Engineering, Product and Design",W21,Shift FinOps Left: Proactively Find & Fix Cloud Cost Issues,yc-w21
accord,Accord,inaccord.com,Sales,W20,The Revenue Excellence Platform,yc-w20
blissway,Blissway,blissway.com,Government,S20,The tolling industry’s prime tech infrastructure,yc-s20
swif-ai,Swif.ai,swif.ai,Security,S20,The guardrail for AI on every device,yc-s20
lendtable,Lendtable,lendtable.com,Credit and Lending,S20,We give employees cash advances for their 401k match and ESPP,yc-s20
medicare-vox-fka-fair-square,Medicare Vox (fka Fair Square),medicarevox.com,Consumer Health and Wellness,W20,Building an AI Health Insurance Agent.,yc-w20
swipe-technologies,Swipe Technologies,getswipe.com,Fintech,W20,"Building modern payments, accounting and cashflow management tools…",yc-w20
handoff,Handoff,handoff.ai,Construction,W20,AI estimator & agent for remodelers.,yc-w20
globe,Globe,globe.exchange,Banking and Exchange,W19,coinbase for derivatives,yc-w19
supernova,Supernova,supernova.io,"Engineering, Product and Design",W19,Design system platform joins developers and designers together,yc-w19
brainkey,BrainKey,brainkey.ai,Diagnostics,W19,Brain Longevity,yc-w19
mutiny,Mutiny,mutinyhq.com,Marketing,S18,AI for Enterprise GTM,yc-s18
nestor,Nestor,nestorup.com,Human Resources,S18,Skills-based talent management solutions for a dynamic workforce.,yc-s18
names-and-faces,Names & Faces,namesandfaces.com,Human Resources,S18,"Technology to create fast, visual indexes of people and organizations.",yc-s18
anima-app,Anima App,animaapp.com,"Engineering, Product and Design",S18,Design to Code & On-brand Vibe-coding,yc-s18
tributi,Tributi,tributi.com,Home and Personal,W18,Tax filing automation for individuals in Latam.,yc-w18
castle-2,Castle,castle.io,Security,W16,Block bots & bad behavior,yc-w16
copia,Copia,gocopia.com,Office Management,W16,Copia's a for-profit technology company that solves food waste &…,yc-w16
new-story,New Story,newstoryhomes.org,Real Estate and Construction,S15,We pioneer solutions to end the global housing crisis by empowering…,yc-s15
piinpoint,PiinPoint,piinpoint.com,Office Management,W14,PiinPoint helps businesses find the best locations for growth,yc-w14
miden,Miden,miden.co,Fintech,W24,Card issuer processor and banking stack for businesses in Sub-…,yc-w24
junction,Junction,junction.com,Consumer Health and Wellness,W20,API for at-home health data,yc-w20
cash-flow-portal,Cash Flow Portal,cashflowportal.com,Housing and Real Estate,W22,Investment management platform for real estate,yc-w22
openlayer,Openlayer,openlayer.com,"Engineering, Product and Design",S21,The fastest way to ship airtight AI,yc-s21
gitstart,GitStart,gitstart.com,"Engineering, Product and Design",S19,Pull Requests as a Service,yc-s19
volantio,Volantio,volantio.com,Marketing,W09,Post-booking revenue and capacity optimization for airlines…,yc-w09
agilemd,AgileMD,agilemd.com,Healthcare IT,S11,Predictive analytics and clinical pathways for hospitals,yc-s11
saturn,Saturn,saturnos.com,Fintech,S24,Compliance and back office workflows for Wealth Managers.,yc-s24
triply,Triply,business.triply.co,Operations,W24,Operating system for travel businesses in Africa with embedded finance,yc-w24
shekel-mobility,Shekel Mobility,shekelmobility.com,Fintech,W23,B2B marketplace for Auto Dealers in Africa,yc-w23
chariot-2,Chariot,givechariot.com,Payments,S22,A payment network connecting nonprofits to the $250B in DAFs,yc-s22
two-dots,Two Dots,twodots.net,B2B,S22,AI fraud prevention and underwriting agent,yc-s22
momento,Momento,tumomento.com,Insurance,W22,Building a full-stack auto insurer for the underserved in LatAm,yc-w22
atlas-2,Atlas,atlas.so,Operations,W22,Modern customer support platform replacement for Intercom and Zendesk,yc-w22
reforged-labs,Reforged Labs,reforgedlabs.com,Gaming,W22,"Turn intuition into insights, in minutes",yc-w22
lexter-ai,Lexter.ai,lexter.ai,Legal,W22,LLM for Legal in Brazil,yc-w22
sieve,Sieve,sievedata.com,Infrastructure,W22,Video datasets for frontier AI,yc-w22
lenk,Lenk,getlenk.com,Credit and Lending,W22,The next-gen lending platform for the banking system in LATAM.,yc-w22
mine,Mine (formerly Fizz),usemine.com,Consumer Finance,S21,The AI personal finance company.,yc-s21
arrow,Arrow,arrowcheckout.com,Payments,S21,Modern Checkout Platform for D2C brands in Southeast Asia,yc-s21
cococart,Cococart,cococart.co,B2B,S21,Empowering local businesses to sell online.,yc-s21
runway,Runway,runway.team,"Engineering, Product and Design",W21,Easier and more reliable mobile app releases for teams.,yc-w21
zoko,ZOKO,zoko.io,Retail,W21,Better Business on WhatsApp,yc-w21
porter,Porter,porter.run,Infrastructure,S20,Easiest way to deploy on AWS/GCP/Azure,yc-s20
explorex,Explorex,explorex.co,Retail,S20,Ecosystem Platform for Restaurants in India,yc-s20
akiflow,Akiflow,akiflow.com,Productivity,S20,All your tasks and calendars into an AI-powered productivity app,yc-s20
jenfi,Jenfi,jenfi.com,Credit and Lending,W20,Jenfi provides revenue-based financing for digital businesses in Asia,yc-w20
allsome-fulfillment,AllSome Fulfillment,allsome.com,Supply Chain and Logistics,W19,Fulfillment platform to build Southeast Asia e-commerce operations,yc-w19
brainhi,BrainHi,brainhi.com,Healthcare IT,S18,Automated receptionist that answers missed calls for local businesses,yc-s18
mailtime,MailTime,mailtime.com,Productivity,W16,Emails as quick and easy as text messaging.,yc-w16
getasap,GETASAP,getasap.us,Supply Chain and Logistics,S25,8-hour Produce Distribution for Retailers of Any Size,yc-s25
arini,Arini,arini.ai,Healthcare IT,W24,AI receptionist for dentists,yc-w24
hyperbound,Hyperbound,hyperbound.ai,Sales,S23,AI Sales Performance OS,yc-s23
inkeep,Inkeep,inkeep.com,"Engineering, Product and Design",W23,Build AI Agent teammates and automations in code or no-code,yc-w23
wallbit,Wallbit,wallbit.io,Banking and Exchange,W23,Neobank for global remote workers,yc-w23
vitalize,Vitalize,vitalize.care,Healthcare,W23,The OS for Hospital Operations,yc-w23
metal,Metal,metal.ai,Finance and Accounting,W23,Institutional Intelligence for Private Equity,yc-w23
snaptrade,SnapTrade,snaptrade.com,Fintech,W22,Plaid for trading,yc-w22
korrai,KorrAI,korrai.com,Construction,W22,AI-native workspace for end-to-end desktop studies,yc-w22
trackingplan,Trackingplan,trackingplan.com,Analytics,W22,Automated QA for your Digital Analytics,yc-w22
union54,Union54,union54.com,Fintech,S21,"Developers of ChitChat, an integrated messaging and payments wallet…",yc-s21
topkey,Topkey,topkey.io,Finance and Accounting,W21,,yc-w21
nano-technologies,Nano Technologies,vuiapp.vn,Credit and Lending,W21,Payroll app to pay workers daily for retailers & manufacturers in SEA,yc-w21
cairns-health,Cairns Health,cairns.ai,Consumer Health and Wellness,S17,Your voice. Your health. We care.,yc-s17
font-awesome,Font Awesome,fontawesome.com,"Engineering, Product and Design",S15,Icons and social logos for your website.,yc-s15
confident-lims,Confident LIMS,confidentlims.com,Operations,S15,Laboratory Information Management System (LIMS) serving…,yc-s15
greptile,Greptile,greptile.com,"Engineering, Product and Design",W24,AI code review agent with complete context of your codebase,yc-w24
vectorshift,VectorShift,vectorshift.ai,Infrastructure,S23,No-Code Generative AI Automations Platform,yc-s23
tiptap,Tiptap,tiptap.dev,"Engineering, Product and Design",S23,Developer toolkit for building collaborative apps.,yc-s23
milio,Milio,miliopay.com,Fintech,W23,B2B-2C real-time account to account payments,yc-w23
222,222,222.place,Consumer,W23,the AI social facilitator for offline human to human interactions,yc-w23
versori,Versori,versori.com,Infrastructure,W23,Agentic integrations & automations for enterprise,yc-w23
metriport,Metriport,metriport.com,Healthcare IT,S22,Open-Source Platform for Healthcare Data Intelligence,yc-s22
partna,Partna,getpartna.com,Fintech,W22,Your Global payments partner for Africa,yc-w22
gauss,Gauss,gauss.money,Consumer Finance,W22,Lower interest rates on existing credit cards,yc-w22
scispot-io,Scispot,scispot.io,B2B,S21,The Best Data Infrastructure for Biotechs,yc-s21
slope,Slope,slopepay.com,Payments,S21,The B2B Payments Platform,yc-s21
gimbooks,GimBooks,gimbooks.com,Finance and Accounting,W21,GimBooks makes Bookkeeping Easy for small business owners,yc-w21
medcrypt,MedCrypt,medcrypt.co,Healthcare IT,W19,MedCrypt gives medical device vendors cybersecurity features in a few…,yc-w19
rankscience,RankScience,rankscience.com,Marketing,W17,Automated SEO for Startups,yc-w17
smartpath,SmartPath,joinsmartpath.com,Consumer Finance,S16,Financial wellness for the middle class,yc-s16
throxy,throxy,throxy.com,Sales,X25,Vertical AI agents that run the sales funnel on autopilot,yc-x25
auctor,Auctor,getauctor.com,B2B,X25,The agentic operating system for modern system integrators.,yc-x25
toothy-ai,Toothy AI,toothy.ai,Healthcare IT,W25,AI for insurance verification & billing at dental clinics,yc-w25
platus,Platus,platus.com,Legal,F24,"Instant Legal Infrastructure - Draft, Sign, Notarize & Process",yc-f24
cekura-ai,Cekura,cekura.ai,"Engineering, Product and Design",F24,Voice AI and Chat AI agents: Testing and Observability,yc-f24
sepal-ai,Sepal AI,sepalai.com,B2B,S24,Data Development for Advanced AI,yc-s24
domu-technology-inc,Domu Technology Inc.,domu.ai,"Engineering, Product and Design",S24,AI Agents for collections,yc-s24
central,Central,centralhq.com,Human Resources,S24,"Payroll, benefits, state compliance & other bullsh*t for startups",yc-s24
wordware,Wordware,wordware.ai,Infrastructure,S24,AI agents you can rely on,yc-s24
offdeal,OffDeal,offdeal.io,B2B,W24,AI-native investment bank for small businesses,yc-w24
infinity,Infinity,infinityapp.in,Payments,W24,Business banking for cross-border SMBs & Startups,yc-w24
carma,Carma,joincarma.com,Operations,W24,The AI Operating System For Modern Fleets.,yc-w24
ubicloud,Ubicloud,ubicloud.com,Infrastructure,W24,Open source alternative to AWS,yc-w24
chequpi,CheqUPI,cheq.money,Fintech,S23,India's first UPI wallet for foreign nationals and NRIs,yc-s23
omnistrate,Omnistrate,omnistrate.com,B2B,W23,Transform any software to multi-cloud SaaS in minutes not years,yc-w23
bluedot,Bluedot,thebluedot.co,Fintech,W23,Bluedot is a single payment platform for EV drivers and fleets.,yc-w23
combinehealth,CombineHealth,combinehealth.ai,Healthcare IT,W23,Automating Healthcare Revenue Cycle Management with AI Workforce,yc-w23
blee,Blee,blee.com,Fintech,S22,"Smart, fast, and collaborative compliance reviews",yc-s22
thera,Thera,getthera.com,B2B,S22,AI-Native Finance OS,yc-s22
firecrawl,Firecrawl,firecrawl.dev,B2B,S22,The web data API for AI,yc-s22
gullak-money,Gullak Money,gullak.money,Fintech,S22,Gullak automates savings & invests these in gold,yc-s22
wondercraft,Wondercraft,wondercraft.ai,Marketing,S22,Create video by chatting to AI,yc-s22
increase,Increase,increase.com,Banking and Exchange,S20,Enterprise-grade banking APIs,yc-s20
aurelian,Aurelian,aurelian.com,B2B,S22,Automating non-emergency calls for 911 centers,yc-s22
moneco,Moneco,moneco.app,Banking and Exchange,S22,Neobank for African migrants in Europe,yc-s22
stream,Stream,stream.claims,Insurance,S22,The AI Claims Workbench automating insurance claims,yc-s22
lamar-health,Lamar Health,lamarhealth.com,Healthcare IT,W21,Take Care of Shitty Paperwork for Expensive Drugs,yc-w21
serif-health,Serif Health,serifhealth.com,Healthcare Services,W22,Healthcare Price Transparency APIs and Data Products,yc-w22
velt,Velt,velt.dev,Productivity,W22,Add powerful collaboration features to your product ridiculously fast.,yc-w22
grey,Grey,grey.co,Fintech,W22,Banking services for remote workers and digital nomads,yc-w22
fieldproxy,Fieldproxy,fieldproxy.com,Productivity,W22,Retool for 20 Million Field Teams,yc-w22
elphinstone-inc,"Elphinstone, Inc.",elphinstone.com.pk,Asset Management,W22,Robo-advisory platform for Pakistan,yc-w22
tendo,Tendo,tendo.app,Social,W22,Enabling Africans to sell online with zero capital,yc-w22
cofactr,Cofactr,cofactr.com,Supply Chain and Logistics,W22,Cloud pre-factory logistics and procurement for electronics,yc-w22
axis,Axis,axis.xyz,Productivity,W22,Knowledge base for corporate affairs teams,yc-w22
numero,Numero,numero.ai,Fintech,W19,Modern fundraising software for political campaigns and nonprofits.,yc-w19
mobileboost,MobileBoost,mobileboost.io,"Engineering, Product and Design",S21,AI native mobile testing.,yc-s21
staffbar,Superwall,superwall.com,"Engineering, Product and Design",S21,Remotely configure every aspect of your mobile app's paywall,yc-s21
mach9,Mach9,mach9.ai,"Engineering, Product and Design",S21,The Fastest Tool for Automating Geospatial Production,yc-s21
frontpage,FrontPage,front.page,Asset Management,S21,Community for 100M Indian Financial Market Traders & Investors,yc-s21
noloco,Noloco,noloco.io,"Engineering, Product and Design",S21,Flexible Business Apps for Modern Teams,yc-s21
contraforce,ContraForce,contraforce.com,Security,S21,Security Delivery Platform to orchestrate AI agents for Service…,yc-s21
digibuild,DigiBuild,digibuild.com,Construction,S21,We buy & track building materials for construction companies.,yc-s21
meticulous,Meticulous,meticulous.ai,"Engineering, Product and Design",S21,Automated e2e screenshot testing without writing or maintaining tests,yc-s21
affogato-ai,Affogato AI,affogato.ai,"Engineering, Product and Design",S21,"Affogato AI — Your Agent for instant TikToks, Reels, and ads.",yc-s21
instakin,InstaKin,instakin.com,Consumer Finance,S21,Financial Platform for Migrant Families in America,yc-s21
brite,Brite,britebenefits.com,Human Resources,S21,Software that helps employees pick their employee benefits.,yc-s21
floatpays-inc,Floatpays Inc,floatpays.com,Fintech,S21,On-demand wage access service built for the African market,yc-s21
haven,Haven,havenservicing.com,Credit and Lending,W20,Homeownership reimagined for the 21st century.,yc-w20
modernloop,ModernLoop,modernloop.io,Recruiting and Talent,W21,ModernLoop helps teams automate and streamline recruiting operations,yc-w21
compound-writing,Foster,foster.co,Home and Personal,W21,A better way to write.,yc-w21
sivo,Sivo,sivo.com,Credit and Lending,W21,Debt as a service for companies to lend money to their users at scale.,yc-w21
arnata,arnata,arnata.com,Supply Chain and Logistics,W21,AI workers for the logistics industry.,yc-w21
gas-pos,Gas Pos,gaspos.co,Payments,W20,Modern Point of Sale for Gas Stations and Truck Stops,yc-w20
jumpstart,Novel,trynovel.com,Banking and Exchange,S20,Novel is your international business bank account,yc-s20
hypotenuse-ai,Hypotenuse AI,hypotenuse.ai,B2B,S20,"Manage, create & optimize your ecommerce product content using AI",yc-s20
tyltgo,TyltGO,tyltgo.com,Supply Chain and Logistics,S20,TyltGO powers retailers with same-day delivery.,yc-s20
bits,Bits,getbits.app,Consumer Finance,S20,Bits is a credit card designed to help people build credit,yc-s20
buildbuddy,BuildBuddy,buildbuddy.io,Infrastructure,W20,BuildBuddy provides enterprise features for Bazel — the open source…,yc-w20
zeo-route-planner,Zeo Route Planner,zeorouteplanner.com,Supply Chain and Logistics,W20,Route Optimisation platform for SMB in delivery & home services.,yc-w20
spate,SPATE,spate.nyc,Retail,S18,Trends prediction for marketers,yc-s18
activeloop,Activeloop,activeloop.ai,Infrastructure,S18,Database for AI,yc-s18
sourcify,Sourcify,sourcify.com,Retail,W18,Sourcify helps brands manufacture products in Asia.,yc-w18
curtsy,Curtsy,curtsyapp.com,Apparel and Cosmetics,S16,Curtsy is a sustainable clothing resale app.,yc-s16
rescuetime,RescueTime,rescuetime.com,Productivity,W08,Take Back Control of your Time,yc-w08
arva-ai,Arva AI,arva.ai,B2B,S24,"AI Agents to scale AML, KYB and KYC operations",yc-s24
brighterway,Brighterway,brighterway.ai,Healthcare IT,S24,Streamlining the medical record review process in workers comp,yc-s24
intryc,Intryc,intryc.com,Operations,S24,Intryc uses AI to automate quality assurance for customer support,yc-s24
prosights,ProSights,prosights.co,Productivity,W24,ProSights is an AI-native data extraction tool for financial…,yc-w24
clarion,Clarion,clarionhealth.com,Healthcare IT,W24,The AI communication layer for healthcare,yc-w24
flint-2,Flint,flintk12.com,Education,S23,Personalized learning built for schools,yc-s23
credal-ai,Credal.ai,credal.ai,Productivity,W23,Connect AI to every tool. Enterprise security built in.,yc-w23
diversion,Diversion,diversion.dev,"Engineering, Product and Design",S22,"A scalable, cloud-native Perforce and Git alternative",yc-s22
pana,Pana,holapana.com,Banking and Exchange,S22,A Global Bank on Chain,yc-s22
uwi,uwi,uwihomes.com,Housing and Real Estate,S22,Financing Southeast Asia's ~$1 trillion housing backlog,yc-s22
fini,Fini,usefini.com,Operations,S22,Fini | Automate 80% of enterprise support with AI agents,yc-s22
salt,SALT,salt.pe,Fintech,W22,B2B Cross-Border Payment & Compliance Platform,yc-w22
trebol,Trébol,gotrebol.com,Finance and Accounting,W22,"Your back-office, on autopilot",yc-w22
armilla-ai,Armilla AI,armilla.ai,Analytics,W22,AI/LLM Assessment & Warranty Solutions,yc-w22
palettehq,PaletteHQ,palettehq.com,Sales,S21,Manage sales commissions and sales performance,yc-s21
mayan,Mayan,mayan.co,Operations,W21,A growth automation platform for Amazon sellers,yc-w21
humanloop,Humanloop,humanloop.com,"Engineering, Product and Design",S20,Humanloop is the LLM evals platform for enterprises.,yc-s20
abalone-bio,Abalone Bio,abalonebio.com,Drug Discovery and Delivery,W20,We create activating antibodies to treat diseases others can’t.,yc-w20
ditto,Ditto,dittowords.com,"Engineering, Product and Design",W20,Manage the words across your team’s product from design to production.,yc-w20
bamboo,Bamboo,investbamboo.com,Consumer Finance,W20,Bamboo ― the first online brokerage service for Africans and their…,yc-w20
taskade,Taskade,taskade.com,Productivity,S19,One prompt. One app. One living workspace for teams.,yc-s19
anniecannons,AnnieCannons,anniecannons.com,Education,S18,Connecting Survivors to Careers in Tech,yc-s18
macromoltek,Macromoltek,macromoltek.com,Drug Discovery and Delivery,W18,Computational antibody design,yc-w18
meadow,Meadow,getmeadow.com,Retail,W15,Point of Sale and Compliance SaaS for Cannabis Dispensaries,yc-w15
algen-biotechnologies,Algen Biotechnologies,algenbio.com,Drug Discovery and Delivery,W20,Using CRISPR to find treatments for cancer and inflammation,yc-w20
cifrato,Cifrato,cifrato.ai,Operations,W25,AI Accountant for Accounting Firms,yc-w25
salespatriot,SalesPatriot,salespatriot.com,Operations,W25,We help defense firms win more contracts with the Pentagon,yc-w25
